iter	RMSE
318	0.7412765631
319	0.7407598366
320	0.7403085319
321	0.7397258339
322	0.7391655769
323	0.7383862464
324	0.7379053947
325	0.7374394884
326	0.7366107715
327	0.7362942545
328	0.7357689114
329	0.7349873999
330	0.7343291367
331	0.7338384092
332	0.7331976221
333	0.7325625863
334	0.7320067386
335	0.7314124196
336	0.7308752882
337	0.730466789
338	0.7296157677
339	0.729149681
340	0.7283700391
341	0.7275629893
342	0.7271100518
343	0.7264539286
344	0.7258364218
345	0.7251967654
346	0.7246472082
347	0.7240797848
348	0.7233836398
349	0.7228531565
350	0.7221997659
351	0.7217752105
352	0.7212168055
353	0.720828034
354	0.7203629152
355	0.7198359338
356	0.7195568329
357	0.7191177767
358	0.7185567141
359	0.7181562945
360	0.7177854322
361	0.7173632141
362	0.7167214402
363	0.7163035014
364	0.7158666093
365	0.715287127
366	0.714648641
367	0.7139998785
368	0.7134650704
369	0.7130409229
370	0.7126719805
371	0.7122626596
372	0.7119401323
373	0.7114594844
374	0.7110088079
375	0.7105784873
376	0.7101719543
377	0.7094934703
378	0.709035166
379	0.7083901862
380	0.7080202741
381	0.7075572884
382	0.7072406905
383	0.7066900994
384	0.7061869476
385	0.7055673407
386	0.7051666224
387	0.7049217472
388	0.704345454
389	0.7040129862
390	0.7033995485
391	0.7029468744
392	0.7026014989
393	0.7021153529
394	0.7017355356
395	0.7012258099
396	0.7006423422
397	0.7001541907
398	0.6994804986
399	0.6991437965
400	0.6984672401
401	0.6981566278
402	0.6978323501
403	0.697437184
404	0.6970346144
405	0.696716922
406	0.6961752036
407	0.6956406287
408	0.6951110571
409	0.6946312254
410	0.694232485
411	0.6938514593
412	0.6934880894
413	0.6930906443
414	0.6925775107
415	0.6923197896
416	0.6921141685
417	0.6916698181
418	0.6913615292
419	0.6909664519
420	0.6905968619
421	0.690199734
422	0.6897614191
423	0.6893181523
424	0.6888659263
425	0.6884151847
426	0.6878918133
427	0.6875163385
428	0.6871313467
429	0.6867858719
430	0.6863824105
431	0.6860577647
432	0.6857716652
433	0.6853561492
434	0.6849401365
435	0.6845969266
436	0.6840563758
437	0.6835743426
438	0.6831127343
439	0.6825194298
440	0.6820496162
441	0.6817438415
442	0.6812138576
443	0.6808632983
444	0.680702467
445	0.680319296
446	0.6799465719
447	0.6794267677
448	0.6791280644
449	0.678805266
450	0.6784336598
451	0.6781049688
452	0.6776144051
453	0.6772558573
454	0.6768438672
455	0.676409075
456	0.6760700769
457	0.6754056763
458	0.6750387105
459	0.6747399655
460	0.6743299305
461	0.6739265123
462	0.6734918818
463	0.6733270776
464	0.6728532374
465	0.6724404851
466	0.6720362331
467	0.6716012179
468	0.6709848876
469	0.6706725756
470	0.670099614
471	0.669742414
472	0.6694133272
473	0.6690727401
474	0.6689529712
475	0.668493642
476	0.6681602748
477	0.6677876874
478	0.6673614811
479	0.6670327668
480	0.6665979728
481	0.6661788701
482	0.6658523369
483	0.6655085167
484	0.6651984776
485	0.6648182713
486	0.6644837613
487	0.6641660013
488	0.6637849619
489	0.6634595211
490	0.6631231175
491	0.6627802745
492	0.6625939034
493	0.6621317548
494	0.6618599943
495	0.6614116378
496	0.6610635985
497	0.6606363869
498	0.6604243346
499	0.6602087636
500	0.6599061787
501	0.659482238
502	0.6590575878
503	0.6587592641
504	0.6584354376
505	0.6581686267
506	0.657787254
507	0.6575286763
508	0.6572143511
509	0.6569112613
510	0.6566569822
511	0.6563379296
512	0.6558457008
513	0.6555592992
514	0.6551214956
515	0.6547574006
516	0.6542999434
517	0.6539418318
518	0.6535667855
519	0.6534396621
520	0.6531058025
521	0.6529505204
522	0.6526251343
523	0.652285233
524	0.6520393621
525	0.6517387844
526	0.6513824954
527	0.6509926186
528	0.6507511379
529	0.6505766816
530	0.6502063495
531	0.6497897966
532	0.6495130993
533	0.649249692
534	0.6489935898
535	0.648746223
536	0.6485072021
537	0.6482444084
538	0.6478410084
539	0.6475215971
540	0.6471597014
541	0.6468693305
542	0.6464463595
543	0.6461735008
544	0.6459486119
545	0.6455901086
546	0.6452207147
547	0.6450843003
548	0.644587417
549	0.6444393171
550	0.6440412044
551	0.6435987742
552	0.6432904123
553	0.6429575706
554	0.6426546376
555	0.6423375409
556	0.6421027645
557	0.641763224
558	0.6414441747
559	0.6411315342
560	0.6408582193
561	0.6406362433
562	0.6402156457
563	0.6399815905
564	0.6396142604
565	0.6393943436
566	0.6390174961
567	0.6387247408
568	0.638487934
569	0.6380192059
570	0.6376235855
571	0.6374431781
572	0.637203329
573	0.6369608188
574	0.6366298376
575	0.6362752501
576	0.6361450983
577	0.6358639381
578	0.635552519
579	0.6353056242
580	0.6350555849
581	0.6347353842
582	0.6344230833
583	0.6340400756
584	0.6336727555
585	0.6334338416
586	0.6331797332
587	0.632952056
588	0.6326920667
589	0.6324001842
590	0.6320336511
591	0.6316983069
592	0.6315916165
593	0.6313073725
594	0.6310489214
595	0.6309247936
596	0.6306867536
597	0.6302941681
598	0.6299716489
599	0.6297284245
600	0.62953258
601	0.6291482925
602	0.6288019409
603	0.6284000547
604	0.6280812883
605	0.6277684123
606	0.627402387
607	0.6270392691
608	0.6265558307
609	0.6262727163
610	0.626032907
611	0.6256168464
612	0.6252446521
613	0.624965799
614	0.6246476619
615	0.6243725546
616	0.624132385
617	0.6240242655
618	0.6238271057
619	0.6235958143
620	0.6234053874
621	0.6230992023
622	0.6228226757
623	0.6225387249
624	0.6222680098
625	0.6220832443
626	0.6218971153
627	0.6215772159
628	0.6212820288
629	0.6209450969
630	0.6206076004
631	0.6203706321
632	0.6201079538
633	0.6197968804
634	0.6196752286
635	0.6194611952
636	0.6192036168
637	0.6189592499
638	0.6186068081
639	0.6184672447
640	0.6181240358
641	0.6177254751
642	0.6173685817
643	0.6170999358
644	0.6168865579
645	0.6167503476
646	0.616419786
647	0.6161244944
648	0.6158526686
649	0.6155591883
650	0.6153597851
651	0.6152854629
652	0.6149663435
653	0.6146384572
654	0.6143046819
655	0.6141021256
656	0.6139305337
657	0.6137069722
658	0.6133243122
659	0.6130958897
660	0.6128508976
661	0.6124990354
662	0.6123317154
663	0.6121903666
664	0.6118752079
665	0.6115867222
666	0.6113755094
667	0.6111274734
668	0.6108460163
669	0.6105135857
670	0.6102521536
671	0.6099625924
672	0.6097162465
673	0.609473886
674	0.6092440513
675	0.609185816
676	0.6088737736
677	0.6085955568
678	0.6082790052
679	0.6079884598
680	0.6076825025
681	0.6075323229
682	0.6072421495
683	0.6070360542
684	0.606784411
685	0.6065369504
686	0.6062324661
687	0.6057739315
688	0.6055411789
689	0.6052901251
690	0.6050067371
691	0.6046956046
692	0.6044765559
693	0.6041939616
694	0.6038192133
695	0.6035838495
696	0.6033040252
697	0.6031213496
698	0.6028482295
699	0.6025880763
700	0.6022930074
701	0.6020270518
702	0.6017674853
703	0.601376219
704	0.6011981648
705	0.600941241
706	0.6006466559
707	0.6003976251
708	0.6001034706
709	0.5999051205
710	0.5996024666
711	0.5994023526
712	0.5991238508
713	0.5988410204
714	0.598634805
715	0.5984111298
716	0.5981113853
717	0.5979822581
718	0.5978236665
719	0.5975824997
720	0.5973845892
721	0.5971077098
722	0.596761638
723	0.5964995375
724	0.596302487
725	0.5960253932
726	0.5957196301
727	0.595417155
728	0.595191527
729	0.5950153927
730	0.5948931361
731	0.5946059628
732	0.5943510642
733	0.5940993641
734	0.5938716718
735	0.5936458963
736	0.5933148616
737	0.5929485933
738	0.5927847586
739	0.5925621942
740	0.5924023745
741	0.5922065464
742	0.5920866693
743	0.5918229283
744	0.5916517208
745	0.5913162442
746	0.5912069324
747	0.5909241086
748	0.590711719
749	0.5904624252
750	0.5902470395
751	0.5900430505
752	0.5897749435
753	0.5895132153
754	0.5894562828
755	0.5891169052
756	0.5888635248
757	0.5885861173
758	0.588331476
759	0.5880186887
760	0.5877789012
761	0.587666492
762	0.5875419264
763	0.5873151698
764	0.5871062395
765	0.5869246956
766	0.5867692798
767	0.5864761594
768	0.5862485583
769	0.5860106281
770	0.5857506213
771	0.5855048931
772	0.5852983679
773	0.5849613096
774	0.5847498706
775	0.5844976895
776	0.5843454791
777	0.584043303
778	0.5837124899
779	0.5834097629
780	0.5831833568
781	0.5829836654
782	0.5828291961
783	0.5825991852
784	0.5823090111
785	0.5820209092
786	0.5818392083
787	0.5816009878
788	0.5814146602
789	0.5812061165
790	0.580998817
791	0.5806826187
792	0.5803876379
793	0.5800532408
794	0.5798083038
795	0.5795724962
796	0.5792453143
797	0.5789475209
798	0.578723298
799	0.5784668148
800	0.5782496215
801	0.5780095081
802	0.57793002
803	0.5776473481
804	0.5774253893
805	0.5773272496
806	0.577101494
807	0.5768365918
808	0.5766302151
809	0.5764744856
810	0.576270309
811	0.5760571568
812	0.5758853059
813	0.5756607397
814	0.575453316
815	0.5750803475
816	0.5748716738
817	0.574581297
818	0.5743375389
819	0.5741648977
820	0.5740896107
821	0.5738125134
822	0.5735486046
823	0.5732943311
824	0.573065561
825	0.5728520391
826	0.5727121436
827	0.5724116549
828	0.5721530432
829	0.5719854013
830	0.5718350124
831	0.571628958
832	0.5713820776
833	0.5712050591
834	0.5708888492
835	0.5706551404
836	0.570424936
837	0.5701698648
838	0.5699265727
839	0.5697113718
840	0.5694848552
841	0.569229001
842	0.5690621124
843	0.5689337882
844	0.5687271577
845	0.5685316219
846	0.5681371203
847	0.5679035117
848	0.5676325102
849	0.5674438221
850	0.5672120092
851	0.566964747
852	0.5668551579
853	0.5666801768
854	0.5665063953
855	0.5662713145
856	0.5659563206
857	0.5658906399
858	0.5656855229
859	0.5653832679
860	0.5652076416
861	0.564946597
862	0.5647255267
863	0.5646358082
864	0.5644112634
865	0.5642471739
866	0.5640488176
867	0.5638057055
868	0.5636779407
869	0.5635124865
870	0.5633111074
871	0.5630824462
872	0.5628374827
873	0.5626637737
874	0.562531603
875	0.5623654918
876	0.5622385696
877	0.5620438269
878	0.5617924318
879	0.5616542275
880	0.5614141931
881	0.561168587
882	0.5609805676
883	0.5607337848
884	0.5604061858
885	0.5601662832
886	0.5599456937
887	0.559787248
888	0.5595980844
889	0.5593747381
890	0.5591870126
891	0.5589910679
892	0.5587975716
893	0.5586415694
894	0.5585816341
895	0.5583391648
896	0.558098192
897	0.5579251022
898	0.5577210288
899	0.5574855122
900	0.5573429759
901	0.5570833859
902	0.5569086983
903	0.5567206297
904	0.5564950252
905	0.5563086086
906	0.5560196872
907	0.555765269
908	0.5555555093
909	0.5553392311
910	0.5551367275
911	0.5549953329
912	0.5548491452
913	0.5547357441
914	0.5545802648
915	0.5543580824
916	0.5541389649
917	0.5539472077
918	0.5537376883
919	0.5535430869
920	0.5533361657
921	0.5531401814
922	0.5529667651
923	0.5527164001
924	0.5524517002
925	0.5522632459
926	0.5521005694
927	0.5519371878
928	0.5517035218
929	0.5514950389
930	0.5513201288
931	0.5512192989
932	0.5510301357
933	0.5508411524
934	0.5506646851
935	0.5504608265
936	0.5503204774
937	0.5501316523
938	0.5498986875
939	0.5496703654
940	0.5494966665
941	0.549352621
942	0.5491728574
943	0.5489713777
944	0.5488105761
945	0.5485933288
946	0.5484199361
947	0.5482972354
948	0.5481062227
949	0.5480203704
950	0.5479330742
951	0.5477585761
952	0.5474420549
953	0.5472657739
954	0.5471432467
955	0.5469554808
956	0.5467456258
957	0.546536072
958	0.5463737063
959	0.5462015706
960	0.5459829457
961	0.5457557586
962	0.5455996711
963	0.545504057
964	0.5452244033
965	0.5451633926
966	0.5449030253
967	0.5447375424
968	0.5445343265
969	0.5443566416
970	0.5441515054
971	0.5439872538
972	0.5437497183
973	0.5435796101
974	0.5433832947
975	0.543129815
976	0.542939091
977	0.5426875113
978	0.5426140779
979	0.5423793246
980	0.5422334808
981	0.54202632
982	0.5417433499
983	0.5414218498
984	0.5413037911
985	0.5411841379
986	0.5410121106
987	0.5408298829
988	0.5406471901
989	0.5404450272
990	0.54026345
991	0.5400761164
992	0.5399821204
993	0.5397790513
994	0.5395627804
995	0.539303678
996	0.5390149946
997	0.538785058
998	0.5386074882
999	0.5384887371
