molecule_chembl_id,target_chembl_id,target_name,bioactivity_type,smiles,standard_value,standard_units,MolWt,LogP,NumHDonors,NumHAcceptors,TPSA,RingCount,QED,BertzCT,fr_sulfonamd,Protein_Weight,Protein_Aromaticity,Protein_Instability,Protein_Isoelectric,Protein_Helix_Frac,Protein_Turn_Frac,Protein_Sheet_Frac,Protein_Hydrophobicity
CHEMBL183333,CHEMBL206,CA III,IC50,Oc1ccc2c(c1)CS[C@H](c1ccccc1)[C@@H]2c1ccc(OCCN2CCCC2)cc1,0.6,nM,431.60100000000034,5.986800000000007,1,4,32.7,5,0.5198386213668008,976.3067136661032,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
CHEMBL328190,CHEMBL206,CA III,IC50,Oc1ccc2c(c1)CC[C@H](c1ccccc1)[C@@H]2c1ccc(OCCN2CCCC2)cc1,1.3,nM,413.5610000000004,5.728700000000006,1,3,32.7,5,0.5602116243394663,976.3067136661032,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
CHEMBL182980,CHEMBL206,CA III,IC50,C[C@H]1CN(CCOc2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3ccc(O)cc3)cc2)C[C@@H]1C,0.5,nM,477.6260000000002,6.031500000000007,2,6,62.16000000000001,5,0.451915705488344,1077.8871603997088,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
CHEMBL183467,CHEMBL206,CA III,IC50,C[C@@H]1CN(CCOc2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3ccc(O)cc3)cc2)C[C@H]1C,0.4,nM,477.6260000000002,6.031500000000007,2,6,62.16000000000001,5,0.451915705488344,1077.8871603997088,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
CHEMBL361751,CHEMBL206,CA III,IC50,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCCN3CCCC3)cc2)cc1,1.7,nM,463.5990000000004,5.929600000000006,2,6,62.16,5,0.4236408006512236,1034.4013510201585,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
CHEMBL180792,CHEMBL206,CA III,IC50,C[C@H](COc1ccc([C@@H]2Oc3ccc(O)cc3S[C@@H]2c2ccc(O)cc2)cc1)N1CCCC1,1.3,nM,463.5990000000002,5.928000000000007,2,6,62.16,5,0.4725965032536288,1050.1973799289376,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
CHEMBL184202,CHEMBL206,CA III,IC50,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CC4CC4C3)cc2)cc1,0.7,nM,461.5830000000003,5.395400000000006,2,6,62.16,6,0.512889621280747,1093.780187359121,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
CHEMBL362623,CHEMBL206,CA III,IC50,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCC3)cc2)cc1,2.6,nM,449.57200000000034,5.539500000000006,2,6,62.16,5,0.515270640827658,1018.6383932088784,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
CHEMBL183584,CHEMBL206,CA III,IC50,C[C@@H]1CCN(CCOc2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3ccc(O)cc3)cc2)C1,3.0,nM,463.59900000000016,5.785500000000008,2,6,62.16000000000001,5,0.4828114934769163,1056.1973799289374,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
CHEMBL183049,CHEMBL206,CA III,IC50,C[C@H]1CCN(CCOc2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3ccc(O)cc3)cc2)C1,1.0,nM,463.59900000000016,5.785500000000008,2,6,62.16000000000001,5,0.4828114934769163,1056.1973799289374,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
