molecule_chembl_id,target_chembl_id,target_name,bioactivity_type,smiles,standard_value,standard_units,MolWt,LogP,NumHDonors,NumHAcceptors,TPSA,RingCount,QED,BertzCT,fr_sulfonamd
CHEMBL209139,CHEMBL264,CA IV,Ki,O=S(=O)(c1ccccc1)N1CCCc2ccc(OCCCN3CCCCC3)cc21,7.3,nM,414.5710000000003,4.082900000000003,0,4,49.85,4,0.6407326585874226,878.8904836311343,1
CHEMBL210346,CHEMBL264,CA IV,Ki,c1cc2c(cc1OCCCN1CCCCC1)N(CC1CCCCC1)CCC2,187.0,nM,370.58100000000024,5.2743000000000055,0,3,15.71,4,0.6078188254068941,559.4010844485958,0
CHEMBL210761,CHEMBL264,CA IV,Ki,CCN1CCCc2ccc(OCCCN3CCCCC3)cc21,156.0,nM,302.462,3.7139000000000024,0,3,15.71,3,0.7450247486050444,453.1061566327445,0
CHEMBL208564,CHEMBL264,CA IV,Ki,c1cc2c(cc1OCCCN1CCCCC1)NCCC2,129.0,nM,274.408,3.299500000000002,1,3,24.5,3,0.8338199941663696,412.0465289172486,0
CHEMBL208892,CHEMBL264,CA IV,Ki,O=S(=O)(c1ccccc1)N1CCCc2cc(OCCCN3CCCCC3)ccc21,18.0,nM,414.5710000000003,4.082900000000003,0,4,49.85,4,0.6407326585874226,878.8904836311343,1
CHEMBL210252,CHEMBL264,CA IV,Ki,c1cc2c(cc1OCCCN1CCCCC1)CCCN2CC1CCCCC1,31.0,nM,370.5810000000002,5.2743000000000055,0,3,15.71,4,0.6078188254068941,559.4010844485958,0
CHEMBL208691,CHEMBL264,CA IV,Ki,CCN1CCCc2cc(OCCCN3CCCCC3)ccc21,41.0,nM,302.462,3.7139000000000024,0,3,15.71,3,0.7450247486050444,453.1061566327445,0
CHEMBL441527,CHEMBL264,CA IV,Ki,c1cc2c(cc1OCCCN1CCCCC1)CCCN2,54.0,nM,274.4079999999999,3.299500000000002,1,3,24.5,3,0.8338199941663695,412.0465289172486,0
CHEMBL210503,CHEMBL264,CA IV,Ki,c1cc(OCCCN2CCCCC2)c2c(c1)N(CC1CCCCC1)CCC2,141.0,nM,370.5810000000003,5.2743000000000055,0,3,15.71,4,0.6078188254068941,559.4010844485958,0
CHEMBL209932,CHEMBL264,CA IV,Ki,CCN1CCCc2c(OCCCN3CCCCC3)cccc21,300.0,nM,302.46199999999993,3.7139000000000024,0,3,15.71,3,0.7450247486050444,453.1061566327445,0
CHEMBL210997,CHEMBL264,CA IV,Ki,c1cc2c(c(OCCCN3CCCCC3)c1)CCCN2,300.0,nM,274.4079999999999,3.299500000000002,1,3,24.5,3,0.8338199941663695,412.0465289172486,0
CHEMBL208496,CHEMBL264,CA IV,Ki,O=C(c1cccs1)N1CCc2cccc(OCCCN3CCCCC3)c2C1,300.0,nM,384.5450000000003,4.201400000000004,0,4,32.78,4,0.6999112980706861,727.4037328946092,0
CHEMBL378760,CHEMBL264,CA IV,Ki,O=S(=O)(c1ccccc1)N1CCc2cccc(OCCCN3CCCCC3)c2C1,300.0,nM,414.57100000000037,3.6884000000000032,0,4,49.85,4,0.6486462708678401,878.8904836311343,1
CHEMBL380261,CHEMBL264,CA IV,Ki,c1cc2c(c(OCCCN3CCCCC3)c1)CN(CC1CCCCC1)CC2,59.0,nM,370.58100000000024,4.879800000000005,0,3,15.71,4,0.6363053816891104,559.4010844485958,0
CHEMBL209098,CHEMBL264,CA IV,Ki,CCN1CCc2cccc(OCCCN3CCCCC3)c2C1,95.2,nM,302.46200000000005,3.3194000000000017,0,3,15.71,3,0.7498151327697234,453.1061566327445,0
CHEMBL211517,CHEMBL264,CA IV,Ki,c1cc2c(c(OCCCN3CCCCC3)c1)CNCC2,154.0,nM,274.408,2.5871000000000004,1,3,24.5,3,0.8353265422820187,412.0465289172486,0
CHEMBL210401,CHEMBL264,CA IV,Ki,O=C(c1cccs1)N1CCc2ccc(OCCCN3CCCCC3)cc2C1,8.1,nM,384.54500000000024,4.201400000000004,0,4,32.78,4,0.6999112980706861,727.4037328946093,0
CHEMBL378842,CHEMBL264,CA IV,Ki,O=S(=O)(c1ccccc1)N1CCc2ccc(OCCCN3CCCCC3)cc2C1,0.53,nM,414.57100000000037,3.6884000000000023,0,4,49.85,4,0.6486462708678401,878.8904836311343,1
